"cellid","CGP.cell.line","CCLE.cell.line","GSK.cell.line","NCI60.cell.line"
"22RV1","22RV1","22Rv1",,
"23132-87","23132-87","23132/87",,
"5637","5637","5637","5637",
"639-V","639-V","639-V","639V",
"647-V","647-V","647-V","647V",
"769-P","769-P","769-P","769P",
"786-0","786-0","786-O",,"RE:786_0"
"A101D","A101D","A101D","A101D",
"A172","A172","A172","A172",
"A204","A204","A-204","A204",
"A253","A253","A-253",,
"A3-KAW","A3-KAW","A3/KAW",,
"A375","A375","A-375","A375",
"A427","A427",,"A427",
"A498","A498","A-498","A498","RE:A498"
"A673","A673","A-673","A673",
"A704","A704","A-704",,
"ACHN","ACHN","ACHN","ACHN","RE:ACHN"
"AGS","AGS","AGS","AGS",
"AN3-CA","AN3-CA","AN3 CA",,
"ARH-77","ARH-77",,"ARH77",
"AsPC-1","AsPC-1","AsPC-1","AsPC1",
"BC-1","BC-1",,"BC1",
"BC-3","BC-3",,"BC3",
"BCPAP","BCPAP","B-CPAP",,
"BDCM",,"BDCM","BDCM",
"BFTC-905","BFTC-905","BFTC-905","BFTC905",
"BHT-101","BHT-101","BHT-101","BHT101",
"BT-20","BT-20","BT-20","BT20",
"BT-474","BT-474","BT-474","BT474",
"BV-173","BV-173","BV-173","BV173",
"C-33-A","C-33-A",,"C33A",
"C-4-II","C-4-II",,"C4II",
"C32","C32","C32","C32TG",
"C3A","C3A","C3A","C3A",
"CA46","CA46","CA46","CA46",
"CAKI-1","CAKI-1","Caki-1",,"RE:CAKI_1"
"Caki-2",,"Caki-2","Caki2",
"CAL-27","CAL-27","CAL 27",,
"CAL-54","CAL-54","CAL-54","CAL54",
"CAL-62","CAL-62","CAL-62","CAL62",
"Calu-1","Calu-1","Calu-1","Calu1",
"Calu-6","Calu-6","Calu-6","Calu6",
"Caov-3","Caov-3","Caov-3","CaOv3",
"CAPAN-1","CAPAN-1","Capan-1",,
"Capan-2","Capan-2","Capan-2","Capan2",
"CCF-STTG1","CCF-STTG1","CCF-STTG1","CCFSTTG1",
"CCRF-CEM","CCRF-CEM",,"CCRFCEM","LE:CCRF_CEM"
"CESS","CESS",,"CESS",
"CGTH-W-1","CGTH-W-1","CGTH-W-1","CGTHW1",
"ChaGo-K-1","ChaGo-K-1","ChaGo-K-1","ChaGoK1",
"CHL-1","CHL-1","CHL-1","CHL1",
"CHP-212","CHP-212","CHP-212","CHP212",
"CML-T1","CML-T1","CML-T1","CMLT1",
"COLO 201",,"COLO 201","COLO201",
"COLO-205","COLO-205","COLO 205",,"CO:COLO205"
"COLO-320-HSR","COLO-320-HSR","COLO-320",,
"COLO-668","COLO-668","COLO 668",,
"COLO-704",,"COLO-704","COLO704",
"COLO-741","COLO-741","COLO 741",,
"COLO-792","COLO-792","COLO 792",,
"COLO-829","COLO-829","COLO 829",,
"COR-L105","COR-L105","COR-L105","CORL105",
"COR-L23","COR-L23","COR-L23","CORL23",
"COR-L279","COR-L279","COR-L279","CORL279",
"COR-L88","COR-L88","COR-L88","CORL88",
"CRO-AP2","CRO-AP2",,"CROAP2",
"CRO-AP5","CRO-AP5",,"CROAP5",
"D-283MED","D-283MED","D283 Med",,
"D341 Med",,"D341 Med","D341Med",
"Daudi","Daudi","Daudi","Daudi",
"DB","DB","DB","DB",
"DBTRG-05MG","DBTRG-05MG","DBTRG-05MG","DBTRG05MG",
"Detroit562","Detroit562","Detroit 562","Detroit562",
"DG-75","DG-75",,"DG75",
"DK-MG","DK-MG","DK-MG","DKMG",
"DMS-114","DMS-114","DMS 114",,
"DMS-153","DMS-153","DMS 153",,
"DMS-273","DMS-273","DMS 273",,
"DMS-53","DMS-53","DMS 53",,
"DMS-79","DMS-79","DMS 79",,
"DOHH-2","DOHH-2","DOHH-2","DOHH2",
"DoTc2-4510","DoTc2-4510",,"DoTc2",
"DU-145","DU-145","DU 145",,"PR:DU_145"
"DU-4475","DU-4475","DU4475",,
"EB-3","EB-3",,"EB3",
"EB1",,"EB1","EB1",
"EB2","EB2","EB2","EB2",
"EFM-19","EFM-19","EFM-19","EFM19",
"EM-2","EM-2","EM-2","EM2",
"ES-2",,"ES-2","ES2",
"FADU","FADU","FaDu",,
"G-401","G-401","G-401","G401",
"G-402",,"G-402","G402",
"GA-10",,"GA-10","GA10",
"GCT","GCT","GCT","GCT",
"GDM-1","GDM-1","GDM-1","GDM1",
"H4",,"H4","H4",
"HCC1143","HCC1143","HCC1143","HCC1143",
