"","CCLE","CGP"
"22RV1","22Rv1","22RV1"
"23132-87","23132/87","23132-87"
"5637","5637","5637"
"639-V","639-V","639-V"
"647-V","647-V","647-V"
"697","697","697"
"769-P","769-P","769-P"
"786-0","786-O","786-0"
"8-MG-BA","8-MG-BA","8-MG-BA"
"8305C","8305C","8305C"
"8505C","8505C","8505C"
"A101D","A101D","A101D"
"A172","A172","A172"
"A204","A-204","A204"
"A2058","A2058","A2058"
"A253","A-253","A253"
"A2780","A2780","A2780"
"A3-KAW","A3/KAW","A3-KAW"
"A375","A-375","A375"
"A4-Fuk","A4/Fuk","A4-Fuk"
"A498","A-498","A498"
"A549","A549","A549"
"A673","A-673","A673"
"A704","A-704","A704"
"ABC-1","ABC-1","ABC-1"
"ACHN","ACHN","ACHN"
"AGS","AGS","AGS"
"AM-38","AM-38","AM-38"
"AML-193","AML-193","AML-193"
"AN3-CA","AN3 CA","AN3-CA"
"AsPC-1","AsPC-1","AsPC-1"
"AU565","AU565","AU565"
"BCPAP","B-CPAP","BCPAP"
"Becker","Becker","Becker"
"BEN","BEN","BEN"
"BFTC-905","BFTC-905","BFTC-905"
"BFTC-909","BFTC-909","BFTC-909"
"BHT-101","BHT-101","BHT-101"
"BHY","BHY","BHY"
"BL-41","BL-41","BL-41"
"BL-70","BL-70","BL-70"
"BT-20","BT-20","BT-20"
"BT-474","BT-474","BT-474"
"BT-549","BT-549","BT-549"
"BV-173","BV-173","BV-173"
"BxPC-3","BxPC-3","BxPC-3"
"C2BBe1","C2BBe1","C2BBe1"
"C32","C32","C32"
"C3A","C3A","C3A"
"CA46","CA46","CA46"
"CAKI-1","Caki-1","CAKI-1"
"CAL-120","CAL-120","CAL-120"
"CAL-12T","CAL-12T","CAL-12T"
"CAL-148","CAL-148","CAL-148"
"CAL-27","CAL 27","CAL-27"
"CAL-33","CAL-33","CAL-33"
"CAL-51","CAL-51","CAL-51"
"CAL-54","CAL-54","CAL-54"
"CAL-62","CAL-62","CAL-62"
"CAL-85-1","CAL-85-1","CAL-85-1"
"Calu-1","Calu-1","Calu-1"
"Calu-3","Calu-3","Calu-3"
"Calu-6","Calu-6","Calu-6"
"CAMA-1","CAMA-1","CAMA-1"
"Caov-3","Caov-3","Caov-3"
"Caov-4","Caov-4","Caov-4"
"CAPAN-1","Capan-1","CAPAN-1"
"Capan-2","Capan-2","Capan-2"
"CAS-1","CAS-1","CAS-1"
"CCF-STTG1","CCF-STTG1","CCF-STTG1"
"CFPAC-1","CFPAC-1","CFPAC-1"
"CGTH-W-1","CGTH-W-1","CGTH-W-1"
"ChaGo-K-1","ChaGo-K-1","ChaGo-K-1"
"CHL-1","CHL-1","CHL-1"
"CHP-126","CHP-126","CHP-126"
"CHP-212","CHP-212","CHP-212"
"CMK","CMK","CMK"
"CML-T1","CML-T1","CML-T1"
"COLO-205","COLO 205","COLO-205"
"COLO-320-HSR","COLO-320","COLO-320-HSR"
"COLO-668","COLO 668","COLO-668"
"COLO-678","COLO-678","COLO-678"
"COLO-679","COLO-679","COLO-679"
"COLO-680N","COLO-680N","COLO-680N"
"COLO-741","COLO 741","COLO-741"
"COLO-792","COLO 792","COLO-792"
"COLO-800","COLO-800","COLO-800"
"COLO-829","COLO 829","COLO-829"
"COR-L105","COR-L105","COR-L105"
"COR-L23","COR-L23","COR-L23"
"COR-L279","COR-L279","COR-L279"
"COR-L51","COR-L51","COR-L51"
"COR-L88","COR-L88","COR-L88"
"CPC-N","CPC-N","CPC-N"
"CW-2","CW-2","CW-2"
"D-283MED","D283 Med","D-283MED"
"Daoy","Daoy","Daoy"
"Daudi","Daudi","Daudi"
"DB","DB","DB"
"DBTRG-05MG","DBTRG-05MG","DBTRG-05MG"
"DEL","DEL","DEL"
"Detroit562","Detroit 562","Detroit562"
"DK-MG","DK-MG","DK-MG"
"DMS-114","DMS 114","DMS-114"
"DMS-153","DMS 153","DMS-153"
"DMS-273","DMS 273","DMS-273"
"DMS-53","DMS 53","DMS-53"
"DMS-79","DMS 79","DMS-79"
"DOHH-2","DOHH-2","DOHH-2"
"DU-145","DU 145","DU-145"
"DU-4475","DU4475","DU-4475"
"DV-90","DV-90","DV-90"
"EB2","EB2","EB2"
"EC-GI-10","EC-GI-10","EC-GI-10"
"ECC10","ECC10","ECC10"
"ECC12","ECC12","ECC12"
"EFE-184","EFE-184","EFE-184"
"EFM-19","EFM-19","EFM-19"
